X-Forwarded-Proto: https
X-Forwarded-Host: example.com
X-Real-IP: 127.0.0.1
X-Cluster-Client-IP: 127.0.0.1
X-Original-URL: /
X-Rewrite-URL: /
X-Original-Method: GET
X-Method-Override: GET
X-HTTP-Method-Override: GET
X-Requested-With: XMLHttpRequest
X-Custom-Header: CustomValue
X-Debug: true
X-Trace-ID: trace123
X-Request-ID: req456
X-Session-ID: sess789
X-Client-Version: 1.0.0
X-API-Version: v1
X-Device-ID: device123
X-Platform: web
X-Browser: chrome
X-OS: windows
X-Country: US
X-Language: en
X-Timezone: UTC
X-Referrer: google.com
X-Source: organic
X-Medium: search
X-Campaign: campaign1
X-Ad-Group: group1
X-Keyword: keyword1
X-Match-Type: broad
X-Position: 1
X-Network: google
X-Device-Type: desktop
X-OS-Version: 10
X-Browser-Version: 91
X-Screen-Resolution: 1920x1080
X-Viewport: 1200x800
X-Color-Depth: 24
X-JavaScript: enabled
X-Cookies: enabled
X-Images: enabled
X-CSS: enabled
X-Flash: disabled
X-Silverlight: disabled
X-Java: disabled
X-PDF: enabled
X-QuickTime: disabled
X-RealPlayer: disabled
X-WMP: disabled
X-ActiveX: disabled
